# ID,MEDV
0,11291360196.298620
1,38776643812.117531
2,2196.082246
3,16883165870.454498
4,25470051.351000
5,741186404.671708
6,8176900675.679126
7,596506176.622659
8,138054524947471.140625
9,6354686.165515
10,2010694744.057431
11,11220932083.483236
12,115390277.240998
13,1608502730.112344
14,2902152747.985389
15,308805776949.281433
16,27931030.324054
17,26475431704.708694
18,340723769.006157
19,14897434532.264605
20,8737616264.087805
21,67264156863628384.000000
22,26604199535.601757
23,19617.152167
24,649711.279219
25,0.032566
26,63109711.871643
27,38142349.697608
28,5867993491.898841
29,53591481.108547
30,10162255273867946.000000
31,5813883357.022645
32,837671606.243155
33,1117287300.562457
34,184921795181.950562
35,2060170861.963820
36,5652092732522.939453
37,58478971462366.757812
38,6604421908056871.000000
39,1941368978684.989502
40,20895735.671196
41,15604088968445.199219
42,6651884145.402774
43,1028864785.703186
44,23962673289.630047
45,251109201939.247101
46,276058494.734371
47,29577330176.285934
48,16740404.322880
49,8631563.891995
50,702800540.190855
51,566034529792962.250000
52,45604225609.804207
53,0.000430
54,7761600.680661
55,328553536.990505
56,41869380.547924
57,3624.512048
58,11962.173679
59,782033878.160775
60,873714512.309263
61,2950997625.922155
62,186260284004119.906250
63,40394824556.891335
64,3894702144507761.500000
65,28366049720572.828125
66,812809.421399
67,4013228186.254047
68,226754267505.183838
69,22736180.335353
70,1515682001.963823
71,5392105.031152
72,95883352421.376923
73,189.817704
74,573376828.098764
75,34623445.257083
76,5931846683.830675
77,9261630469971.125000
78,6600039.423886
79,37676379762841.445312
80,79674263174929.531250
81,1225079344946150400.000000
82,1769484952783.649658
83,9658217615011.466797
84,410855739.439524
85,341465436847476.812500
86,266100808.663199
87,80507187566.894272
88,862964.513033
89,716009619.688443
90,1473601.878220
91,662075704.730206
92,101014.689302
93,4458655385.835020
94,155411532.697955
95,3172117130.444712
96,2188560023925679.500000
97,189.671859
98,134839892.764958
99,14642386495.755890
100,313490781844.076721
101,28701546.719257
102,443289918697.689026
103,7258541969880492.000000
104,5.920106
