# ID,MEDV
0,11207279732.237940
1,38930625231.458893
2,2270.942988
3,16844131497.311073
4,25862951.215650
5,743971270.185045
6,8237526621.528444
7,602224144.027034
8,141838256989549.906250
9,6196097.985715
10,2007247575.134809
11,10912960614.499918
12,115227656.149086
13,1632703150.539604
14,2847614406.705188
15,308487667244.175964
16,27441670.094367
17,26729885247.795025
18,329126870.774107
19,14706975739.157137
20,8902891806.514574
21,71418563597464984.000000
22,25493873657.229393
23,19024.851254
24,634306.123359
25,0.030191
26,63674659.861321
27,37461000.610589
28,5933307777.775149
29,50429511.666788
30,10493210406871360.000000
31,5769902841.531022
32,828608089.111265
33,1089119551.376293
34,190260371319.497986
35,2020840996.706008
36,5697749842539.178711
37,59743532154957.656250
38,6923865529629031.000000
39,1957612960607.930664
40,22225426.277317
41,15553808491089.458984
42,6576026951.733059
43,1019440232.048153
44,23207398684.235840
45,251762658344.162109
46,289824540.281839
47,29710700425.076401
48,16500171.442078
49,8489599.248110
50,701382555.823329
51,590343694588670.125000
52,45949538934.549965
53,0.000401
54,7675809.252632
55,323362304.263144
56,41055649.527571
57,3714.892433
58,12460.965657
59,780268621.913265
60,863664260.024158
61,3109282321.620317
62,186578680047962.250000
63,40459123361.971779
64,4067690230098337.000000
65,29600020175689.320312
66,846814.150629
67,4241694591.010279
68,226531679349.472229
69,22764165.751502
70,1514846192.780076
71,5149850.463483
72,93619341933.295227
73,195.276677
74,572206612.054970
75,35489154.934400
76,5870542759.251091
77,9463727358400.673828
78,6302630.930143
79,38802535253518.687500
80,80383223084739.000000
81,1320897574481409536.000000
82,1842323325778.263916
83,9651877003892.105469
84,396920988.395149
85,353086529484541.687500
86,266035854.802345
87,79764999197.205627
88,900287.487802
89,692783768.774677
90,1563403.668744
91,649678068.613131
92,105316.462539
93,4489906570.137217
94,151342986.745543
95,3142003631.654759
96,2218159716354973.500000
97,183.021652
98,137603313.593096
99,14766804192.493998
100,316133207571.507141
101,28264054.214704
102,449309078817.326660
103,7478178817472863.000000
104,5.334633
